file,img_changes,script_defers,preconnects
neighborhoods/holliswood/schools/index.html,0,1,0
neighborhoods/holliswood/buying-guide/index.html,0,1,0
neighborhoods/brooklyn/east-new-york.html,2,0,0
neighborhoods/brooklyn/greenpoint.html,2,0,0
neighborhoods/brooklyn/bay-ridge.html,2,0,0
neighborhoods/brooklyn/williamsburg.html,2,0,0
neighborhoods/brooklyn/bensonhurst.html,2,0,0
neighborhoods/brooklyn/bergen-beach.html,1,0,0
neighborhoods/brooklyn/windsor-terrace.html,2,0,0
neighborhoods/brooklyn/bath-beach.html,1,0,0
neighborhoods/brooklyn/prospect-heights.html,2,0,0
neighborhoods/brooklyn/prospect-lefferts-gardens.html,2,0,0
neighborhoods/brooklyn/coney-island.html,1,0,0
neighborhoods/brooklyn/sunset-park.html,2,0,0
neighborhoods/brooklyn/bedford-stuyvesant.html,2,0,0
neighborhoods/brooklyn/cobble-hill.html,2,0,0
neighborhoods/brooklyn/gravesend.html,2,0,0
neighborhoods/brooklyn/dyker-heights.html,2,0,0
neighborhoods/brooklyn/manhattan-beach.html,1,0,0
neighborhoods/brooklyn/boerum-hill.html,1,0,0
neighborhoods/brooklyn/bushwick.html,2,0,0
neighborhoods/brooklyn/flatlands.html,2,0,0
neighborhoods/brooklyn/flatbush.html,2,0,0
neighborhoods/brooklyn/east-flatbush.html,2,0,0
neighborhoods/brooklyn/carroll-gardens.html,1,0,0
neighborhoods/brooklyn/sheepshead-bay.html,2,0,0
neighborhoods/brooklyn/gowanus.html,1,0,0
neighborhoods/brooklyn/borough-park.html,2,0,0
neighborhoods/brooklyn/marine-park.html,2,0,0
neighborhoods/brooklyn/dumbo.html,1,0,0
neighborhoods/brooklyn/georgetown-brooklyn.html,1,0,0
neighborhoods/brooklyn/downtown-brooklyn.html,2,0,0
neighborhoods/brooklyn/brighton-beach.html,2,0,0
neighborhoods/brooklyn/brooklyn-heights.html,2,0,0
neighborhoods/brooklyn/crown-heights.html,2,0,0
neighborhoods/brooklyn/red-hook.html,2,0,0
neighborhoods/brooklyn/brownsville.html,2,0,0
neighborhoods/brooklyn/canarsie.html,2,0,0
neighborhoods/brooklyn/midwood.html,2,0,0
neighborhoods/brooklyn/fort-greene.html,2,0,0
neighborhoods/brooklyn/clinton-hill.html,2,0,0
neighborhoods/brooklyn/park-slope.html,2,0,0
neighborhoods/brooklyn/kensington.html,2,0,0
neighborhoods/staten-island/castleton-corners.html,1,0,0
neighborhoods/staten-island/sunnyside-staten-island.html,1,0,0
neighborhoods/staten-island/emerson-hill.html,1,0,0
neighborhoods/staten-island/port-ivory.html,1,0,0
neighborhoods/staten-island/annadale.html,1,0,0
neighborhoods/staten-island/graniteville.html,1,0,0
neighborhoods/staten-island/manor-heights.html,1,0,0
neighborhoods/staten-island/livingston-staten-island.html,1,0,0
neighborhoods/staten-island/stapleton.html,1,0,0
neighborhoods/staten-island/arden-heights.html,1,0,0
neighborhoods/staten-island/grymes-hill.html,1,0,0
neighborhoods/staten-island/bloomfield-staten-island.html,1,0,0
neighborhoods/staten-island/travis.html,1,0,0
neighborhoods/staten-island/new-springville.html,1,0,0
neighborhoods/staten-island/woodrow.html,1,0,0
neighborhoods/staten-island/tottenville.html,1,0,0
neighborhoods/staten-island/princes-bay.html,1,0,0
neighborhoods/staten-island/heartland-village.html,1,0,0
neighborhoods/staten-island/st-george.html,1,0,0
neighborhoods/staten-island/eltingville.html,1,0,0
neighborhoods/staten-island/west-brighton.html,1,0,0
neighborhoods/staten-island/randall-manor.html,1,0,0
neighborhoods/staten-island/new-brighton.html,1,0,0
neighborhoods/staten-island/charleston-staten-island.html,1,0,0
neighborhoods/staten-island/concord-staten-island.html,1,0,0
neighborhoods/staten-island/bay-terrace-staten-island.html,1,0,0
neighborhoods/staten-island/lighthouse-hill.html,1,0,0
neighborhoods/staten-island/pleasant-plains.html,1,0,0
neighborhoods/staten-island/greenridge.html,1,0,0
neighborhoods/staten-island/park-hill-staten-island.html,1,0,0
neighborhoods/staten-island/howland-hook.html,1,0,0
neighborhoods/staten-island/great-kills.html,1,0,0
neighborhoods/staten-island/rossville.html,1,0,0
neighborhoods/staten-island/mariners-harbor.html,1,0,0
neighborhoods/staten-island/westerleigh.html,1,0,0
neighborhoods/staten-island/chelsea-staten-island.html,1,0,0
neighborhoods/staten-island/bulls-head.html,1,0,0
neighborhoods/staten-island/oakwood-staten-island.html,1,0,0
neighborhoods/staten-island/huguenot.html,1,0,0
neighborhoods/staten-island/dongan-hills.html,1,0,0
neighborhoods/staten-island/silver-lake-staten-island.html,1,0,0
neighborhoods/staten-island/todt-hill.html,1,0,0
neighborhoods/staten-island/port-richmond.html,1,0,0
neighborhoods/staten-island/elm-park.html,1,0,0
neighborhoods/staten-island/tompkinsville.html,1,0,0
neighborhoods/staten-island/south-beach-staten-island.html,1,0,0
neighborhoods/staten-island/arlington-staten-island.html,1,0,0
neighborhoods/staten-island/clifton-staten-island.html,1,0,0
neighborhoods/staten-island/new-dorp.html,1,0,0
neighborhoods/staten-island/grant-city.html,1,0,0
neighborhoods/staten-island/rosebank.html,1,0,0
neighborhoods/queens/ozone-park.html,1,0,0
neighborhoods/queens/middle-village.html,1,0,0
neighborhoods/queens/kew-gardens.html,1,0,0
neighborhoods/queens/rego-park.html,1,0,0
neighborhoods/queens/glen-oaks.html,1,0,0
neighborhoods/queens/elmhurst.html,1,0,0
neighborhoods/queens/richmond-hill.html,1,0,0
neighborhoods/queens/murray-hill-queens.html,1,0,0
neighborhoods/queens/flushing.html,1,0,0
neighborhoods/queens/woodhaven.html,1,0,0
neighborhoods/queens/jamaica-hills.html,1,0,0
neighborhoods/queens/south-ozone-park.html,1,0,0
neighborhoods/queens/jackson-heights.html,1,0,0
neighborhoods/queens/laurelton.html,1,0,0
neighborhoods/queens/rockaway.html,1,0,0
neighborhoods/queens/briarwood.html,1,0,0
neighborhoods/queens/maspeth.html,1,0,0
neighborhoods/queens/corona.html,1,0,0
neighborhoods/queens/jamaica-estates.html,1,0,0
neighborhoods/queens/hollis.html,1,0,0
neighborhoods/queens/st-albans.html,1,0,0
neighborhoods/queens/long-island-city.html,1,0,0
neighborhoods/queens/rosedale.html,1,0,0
neighborhoods/queens/springfield-gardens.html,1,0,0
neighborhoods/queens/whitestone.html,1,0,0
neighborhoods/queens/queens-village.html,1,0,0
neighborhoods/queens/howard-beach.html,1,0,0
neighborhoods/queens/cambria-heights.html,1,0,0
neighborhoods/queens/astoria.html,1,0,0
neighborhoods/queens/jamaica.html,1,0,0
neighborhoods/queens/forest-hills.html,1,0,0
neighborhoods/queens/bellerose.html,1,0,0
neighborhoods/queens/far-rockaway.html,1,0,0
neighborhoods/queens/bayside.html,1,0,0
neighborhoods/queens/glendale.html,1,0,0
neighborhoods/queens/south-richmond-hill.html,1,0,0
neighborhoods/queens/woodside.html,1,0,0
neighborhoods/queens/fresh-meadows.html,1,0,0
neighborhoods/queens/auburndale.html,1,0,0
neighborhoods/queens/arverne.html,1,0,0
neighborhoods/queens/douglaston.html,1,0,0
neighborhoods/queens/sunnyside.html,1,0,0
neighborhoods/queens/floral-park-queens.html,1,0,0
neighborhoods/queens/college-point.html,1,0,0
faq/buying-home-brooklyn.html,2,0,0
faq/index.html,4,0,0
faq/buying-home-long-island.html,2,0,0
faq/real-estate-investing-nyc.html,2,0,0
faq/buying-home-queens.html,2,0,0
faq/first-time-buyers-nyc.html,2,0,0
faq/selling-home-nyc.html,2,0,0
faq/coop-vs-condo.html,2,0,0
faq/renting-vs-buying.html,2,0,0
faq/closing-costs-nyc.html,2,0,0
our-listings/index.html,1,0,0
1031-exchange/index.html,1,0,0
listings/index.html,1,2,0
author/nitin-gadura.html,1,0,0
resources/index.html,2,0,0
resources/neighborhood-comparison-tool.html,2,0,0
resources/first-time-buyer-checklist.html,2,0,0
resources/home-selling-checklist.html,2,0,0
resources/moving-to-nyc-guide.html,2,0,0
resources/mortgage-calculator.html,2,0,0
resources/closing-costs-guide.html,2,0,0
press/index.html,5,0,0
vinod-gadura/index.html,1,0,0
admin/index.html,1,0,0
agents/rushneet-kaur.html,2,0,0
agents/bhupinder-gill.html,3,0,0
agents/manpreet-kaur.html,1,0,0
agents/jagman-dhaliwal.html,1,0,0
agents/jeevanpreet-singh.html,3,0,0
agents/jaqueline-silva.html,3,0,0
agents/wazid-mohammed.html,2,0,0
agents/zahid-ali.html,3,0,0
agents/ravi-kapoor.html,2,0,0
agents/gaurav-bhardwaj.html,3,0,0
agents/md-ali.html,3,0,0
agents/vinod-gadura.html,3,0,0
agents/stephanie-silva.html,3,0,0
agents/kumar-ramudit.html,1,0,0
home-value/index.html,2,0,0
first-time-homebuyer/index.html,1,0,0
blog/queens-ny-relocation-guide.html,2,0,0
blog/how-to-buy-coop-queens-ny.html,1,0,0
blog/index.html,2,0,0
blog/investment-property-queens-brooklyn.html,0,1,0
blog/best-neighborhoods-queens-families.html,3,0,0
blog/howard-beach-real-estate-guide-2026.html,0,1,0
blog/brooklyn-vs-queens-homebuyers.html,1,0,0
blog/first-time-home-buyer-queens-ny.html,1,0,0
blog/queens-real-estate-market-2026.html,1,0,0
blog/how-to-choose-real-estate-agent-queens.html,6,0,0
queens-south/index.html,1,0,0
for-sale/index.html,2,0,0
